x,y,token
17.99962,12.756596,theoretic
-32.177143,-1.5563922,Live
-17.118746,-50.14692,congregation
-24.513222,37.437122,papa
38.209736,-6.7426443,tap
11.605226,21.077951,lawsuit
-4.2775526,-6.466354,attributes
14.737158,28.6447,meditations
-3.077445,2.3240254,owning
5.238394,50.569706,excite
-3.5305533,-34.5089,pasture
-25.32023,23.269787,gong
12.950938,21.704876,agency
-15.144889,15.819472,sew
1.6915319,0.9994606,miserably
13.916216,31.616457,timed
-44.1582,-37.00391,Ruth
45.994858,15.915327,Pretty
32.92893,-18.867727,grotesque
38.059727,-17.692734,benches
15.181174,30.593737,tenderest
17.150562,36.552395,recommending
-26.677422,-6.731119,lawful
-27.438745,-16.616898,desireth
21.995768,-30.880232,aery
6.517508,16.965906,vocation
3.0065498,27.58401,loveliness
31.2599,-22.171791,buoyant
-39.51734,-36.254963,Elimelech
-34.12016,9.045042,Legions
-38.715183,-37.516804,Shuah
-2.1430922,-1.9224889,Immortal
0.21944512,-31.434866,adder
-23.483425,21.354843,NEW
-3.8600633,-23.863493,goodliest
36.971714,-26.307423,cracking
-39.11281,-56.30768,Asa
-35.379765,8.69908,Sunne
-37.88409,-41.024437,Ethiopian
-25.026138,-19.31361,seeth
-28.315115,-9.893954,grace
-41.12524,-45.07866,Jachin
-9.732293,-57.649593,eighteen
-4.8496046,-8.430712,tallying
-48.854088,34.29369,Cass
26.321571,-8.648498,butt
46.80161,25.519167,",--"""
-7.987244,30.854519,becomes
0.9668922,37.5172,pleasantest
-47.758698,10.115706,reade
-33.668316,9.094132,Prayers
0.904795,-31.143925,cistern
20.562325,-28.428083,gait
23.54503,-40.260197,myriads
15.556682,44.0887,mortified
-45.479298,-16.937933,138
-37.062756,-40.592285,Nob
28.485035,-36.3414,orb
24.701105,1.816085,playground
9.68688,17.183207,Leviathans
3.2882288,9.046598,embodiment
8.981858,-33.5589,storm
37.61375,24.219875,blushing
-46.727127,-48.38381,Eliezer
19.123568,38.10411,Everybody
-11.813105,-16.293854,slumber
28.677723,-36.10335,wild
11.435046,47.18143,effects
4.866555,35.34278,exceed
49.56642,16.821375,Fox
50.413765,7.441469,coach
-38.860443,-4.1810856,holdest
43.154404,19.503513,frowning
20.075075,-14.279281,arrogant
42.75439,-11.163676,flushed
7.2095785,27.406084,shares
9.169555,9.071124,porpoises
-34.714535,-27.671278,disputed
32.094303,-34.71585,careering
-26.80958,11.22395,Wait
12.64756,50.346355,principally
5.2701287,55.524036,inclination
-12.666152,51.127117,Taylor
6.4660363,-52.628525,windows
-36.858772,-11.255015,judgments
39.41158,-5.1819925,Meantime
-25.29302,-43.89705,overthrew
-15.562786,-25.262798,straitness
8.495201,58.4635,sufferings
6.523639,-4.781917,pate
-3.7175865,-7.6332736,germs
-22.145279,13.576903,Mayor
-45.13782,-50.94599,Abishua
4.1217566,45.984127,extravagant
25.094938,-41.279316,Over
-22.767918,8.544073,wipe
28.729067,42.52707,carriage
34.048744,-25.182858,bracing
-41.22625,-46.683006,Gileadite
-27.61494,-47.8328,remnant
